zipcode,population,poverty_rate,median_income,median_gross_rent,rent_burden
49613,570,0.08596491228070176,65938,17,0.00025781795019563835
49614,3029,0.09045889732585012,69063,35,0.0005067836612947599
49615,3946,0.06842372022301065,72065,267,0.003704988552001665
49616,2225,0.2350561797752809,43167,105,0.002432413649315449
49617,3166,0.08717624763108023,75409,78,0.0010343592939834768
49618,848,0.20518867924528303,49375,43,0.0008708860759493671
49619,1031,0.16100872938894278,53958,27,0.0005003891915934615
49620,2813,0.10415926057589762,68393,129,0.0018861579401400728
49621,3749,0.07628700986929848,79896,133,0.001664664063282267
49622,2439,0.1090610906109061,62857,112,0.0017818222314141623
49623,1193,0.07627829002514669,59118,25,0.00042288304746439324
49625,1202,0.1605657237936772,45625,43,0.0009424657534246575
49626,202,0.06435643564356436,51111,1,1.9565259924478096e-05
